fr,fe
1536,136429
1536,139614
1536,118852
1536,130672
1536,139861
1952,133967
1952,139080
1952,140562
1952,140462
1952,125004
1952,130059
1952,132796
4358,139062
4358,125068
4358,140593
4358,125300
4358,140040
4358,120686
4358,120537
4358,128508
4358,25
11113,127284
11113,120091
11113,130827
11113,119205
11113,140974
11113,117774
11113,133728
11113,138550
11113,126817
12522,122693
12522,117329
12522,122974
12522,130793
12522,138033
12522,133434
12522,115732
12522,117827
12564,134133
12564,130205
12564,131766
12564,120076
12564,135754
12564,121567
12564,135630
12564,141579
12564,138912
12838,121615
12838,128171
12838,134944
12838,127492
13211,120564
13211,135709
13211,130255
13211,128006
13211,118773
13211,11113
14753,119014
14753,132314
14753,117071
14753,118651
15913,133401
15913,120537
15913,119559
15913,131943
16853,135312
16853,140005
16853,136498
16853,138725
16853,116092
16853,124824
16853,123022
21723,138504
21723,141991
21723,135769
21723,138576
21723,119569
21723,140287
21723,117754
48933,120578
48933,138574
48933,122298
48933,128279
48933,133133
48933,133942
48933,116934
51793,132907
51793,135854
51793,129716
51793,124087
51793,129278
51943,116241
51943,136847
51943,120583
51943,138793
51943,136321
51943,124753
51943,129911
51943,122557
58213,133146
58213,129483
58213,139280
58213,139431
58213,134440
58213,121191
70093,116390
70093,132648
70093,117692
70093,122623
70093,136611
70093,140010
77483,121748
77483,116257
77483,137470
77483,119181
77483,127284
77483,117088
115712,123489
115712,120639
115712,133113
115712,120024
115712,126464
115712,116971
115713,138203
115713,129070
115713,124388
115713,125840
115714,117858
115714,140716
115714,135860
115714,54
115714,128455
115714,139555
115714,121889
115714,125781
115714,131572
115714,135069
115715,133459
115715,138854
115715,139609
115715,126980
115715,115972
115715,139077
115715,140305
115716,130661
115716,139449
115716,117764
115716,140295
115716,129542
115716,122227
115716,116814
115716,132419
115717,124606
115717,122945
115717,138475
115717,125246
115717,124630
115718,141979
115718,130794
115718,116352
115718,116896
115719,130416
115719,126942
115719,127037
115719,138566
115719,118449
115720,126355
115720,138633
115720,129213
115720,119779
115721,123631
115721,134513
115721,136620
115721,125693
115721,116294
115722,127636
115722,134596
115722,129020
115722,122883
115722,122422
115722,128181
115722,141228
115722,127834
115723,125136
115723,120698
115723,118769
115723,123636
115723,120344
115723,126154
115724,138591
115724,131485
115724,139909
115724,115955
115724,138750
115724,142013
115725,123743
115725,126131
115725,132723
115725,132919
115725,132230
115725,125281
115725,133938
115725,140033
115725,129844
115725,133787
115727,119137
